"Add Url","Add Url"
"Can not create block ""%s""","Can not create block ""%s"""
"Configuration","Configuration"
"Create New Credit Memo","Create New Credit Memo"
"Create New Invoice","Create New Invoice"
"Credit Memo was not saved","Credit Memo was not saved"
"Credit Memo was saved succesfully","Credit Memo was saved succesfully"
"Edit Invoice","Edit Invoice"
"Edit Order","Edit Order"
"Invoice was charged succesfully","Invoice was charged succesfully"
"Invoice was not charged","Invoice was not charged"
"Invoice was not saved","Invoice was not saved"
"Invoice was successfully charged","Invoice was successfully charged"
"Invoice was successfully saved","Invoice was successfully saved"
"Invoice was updated succesfully","Invoice was updated succesfully"
"Invoices","Invoices"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Manage Url Rewrite","Manage Url Rewrite"
"Order saving error: %s","Order saving error: %s"
"Orders","Orders"
"Processing data problem","Processing data problem"
"Sales","Sales"
"The invoice you are trying to create credit memo for no longer exists","The invoice you are trying to create credit memo for no longer exists"
"The order you are trying to create invoice for no longer exists","The order you are trying to create invoice for no longer exists"
"This invoice no longer exists","This invoice no longer exists"
"This order no longer exists","This order no longer exists"
"View Invoice","View Invoice"
