"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Allow Qty Below 0 and Notify Customer"
"Backorders","Backorders"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Can not specify product identifier for order item","Can not specify product identifier for order item"
"Conditions Combination","Conditions Combination"
"Decrease Stock When Order is Placed","Decrease Stock When Order is Placed"
"Inventory","Inventory"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Minimum Qty for Items' Status to be In Stock","Minimum Qty for Items' Status to be In Stock"
"No Backorders","No Backorders"
"Product Attribute","Product Attribute"
"Rule price","Rule price"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Stock Options"
"The maximum quantity allowed for purchase is %d.","The maximum quantity allowed for purchase is %d."
"The minimum quantity allowed for purchase is %d.","The minimum quantity allowed for purchase is %d."
"The requested quantity for ""%s"" is not available.","The requested quantity for ""%s"" is not available."
"The requested quantity is not available.","The requested quantity is not available."
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Update the Product","Update the Product"
