"Actions","Actions"
"Add New Rule","Add New Rule"
"Apply Rules","Apply Rules"
"Attribute Set","Attribute Set"
"Catalog","Catalog"
"Catalog Price Rule","Catalog Price Rule"
"Catalog Price Rules","Catalog Price Rules"
"Conditions","Conditions"
"Conditions and Actions","Conditions and Actions"
"Customer Groups","Customer Groups"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Customer registered: %s"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Delete Rule","Delete Rule"
"Description","Description"
"Description: %s","Description: %s"
"Disabled","Disabled"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Enabled","Enabled"
"Expire at: %s","Expire at: %s"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"NOT LOGGED IN","NOT LOGGED IN"
"Name: %s","Name: %s"
"New Rule","New Rule"
"No","No"
"Options","Options"
"Priority","Priority"
"Promotions","Promotions"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"Rules were successfully applied","Rules were successfully applied"
"Save Rule","Save Rule"
"Save and Apply","Save and Apply"
"Start at: %s","Start at: %s"
"Status","Status"
"Stop further rules processing","Stop further rules processing"
"Stores","Stores"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"This rule no longer exists","This rule no longer exists"
"To Date","To Date"
"Unable to apply rules","Unable to apply rules"
"Unable to find a page to delete","Unable to find a page to delete"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Yes","Yes"
