"%s already exist","%s already exist"
"%s already exists","%s already exists"
"Advanced","Advanced"
"Allow countries","Allow countries"
"Allowed Currencies","Allowed Currencies"
"Allowed currencies","Allowed currencies"
"Base currency","Base currency"
"Base directory","Base directory"
"Base url","Base url"
"Block with name ""%s"" already exists","Block with name ""%s"" already exists"
"Can't retrieve request object","Can't retrieve request object"
"Can\'t retrieve entity config for entity: %s of model: %s","Can\'t retrieve entity config for entity: %s of model: %s"
"Cannot Delete Email Template","Cannot Delete Email Template"
"Code pools root directory","Code pools root directory"
"Code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Config cache directory","Config cache directory"
"Configuration directory","Configuration directory"
"Controller file was loaded but class does not exist","Controller file was loaded but class does not exist"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Path","Cookie Path"
"Cookie management","Cookie management"
"Countries options","Countries options"
"Currency","Currency"
"Currency Setup","Currency Setup"
"Currency options","Currency options"
"Current package name","Current package name"
"Custom email 1","Custom email 1"
"Custom email 2","Custom email 2"
"Customer support","Customer support"
"Datasharing","Datasharing"
"Debug","Debug"
"Default","Default"
"Default URLs","Default URLs"
"Default country","Default country"
"Default no-route url","Default no-route url"
"Default web url","Default web url"
"Design","Design"
"Developer","Developer"
"Disable modules output","Disable modules output"
"Display default currency","Display default currency"
"Duplicate Of Template Code","Duplicate Of Template Code"
"Empty identifier field name","Empty identifier field name"
"Empty main table name","Empty main table name"
"Enabled","Enabled"
"Error in file: ""%s"" - %s","Error in file: ""%s"" - %s"
"Filesystem","Filesystem"
"Frequency","Frequency"
"General","General"
"General contact","General contact"
"Host","Host"
"Id path for specified store","Id path for specified store"
"Import Settings","Import Settings"
"Invalid base dir type specified: %s","Invalid base dir type specified: %s"
"Invalid block name to set child %s: %s","Invalid block name to set child %s: %s"
"Invalid block type: %s","Invalid block type: %s"
"Invalid block: %s","Invalid block: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Invalid layout update argument, expected Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid transactional email code","Invalid transactional email code"
"Invalid websites configuration path: %s","Invalid websites configuration path: %s"
"Js base url","Js base url"
"Layout","Layout"
"Layout cache directory","Layout cache directory"
"Layout files directory","Layout files directory"
"Locale","Locale"
"Locale Settings","Locale Settings"
"Locale options","Locale options"
"Media base url","Media base url"
"Media files directory","Media files directory"
"Model class does not exist: %s","Model class does not exist: %s"
"Model collection resource name is not defined","Model collection resource name is not defined"
"Notification Email","Notification Email"
"Operating mode","Operating mode"
"Package","Package"
"Please enter 6 or more characters.","Please enter 6 or more characters."
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field."
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Please enter a valid URL. http:// is required"
