"%s Item(s)","%s Item(s)"
"(ver. %s)","(ver. %s)"
"Close Window","Close Window"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Interface Language","Interface Language"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Magento Commerce Demo Store","Magento Commerce Demo Store"
"Magento&trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007","Magento&trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007"
"Next Page","Next Page"
"Page:","Page:"
"Previous Page","Previous Page"
"Report All Bugs","Report All Bugs"
"Search Terms","Search Terms"
"Show","Show"
"Site Map","Site Map"
"Skip to Main Content","Skip to Main Content"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"Welcome, %s!","Welcome, %s!"
"You're currently on:","You're currently on:"
"per page","per page"
