"Action","Action"
"Add Sitemap","Add Sitemap"
"CMS Pages Options","CMS Pages Options"
"CSV","CSV"
"Categories Options","Categories Options"
"Edit","Edit"
"Enabled","Enabled"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"FATAL ERROR:","FATAL ERROR:"
"Filename","Filename"
"Filename can\'t be empty","Filename can\'t be empty"
"Frequency","Frequency"
"Generation Settings","Generation Settings"
"Google Sitemap","Google Sitemap"
"ID","ID"
"Last Time Generated","Last Time Generated"
"Link for Google","Link for Google"
"Manage Google Sitemaps","Manage Google Sitemaps"
"Path","Path"
"Priority","Priority"
"Priority must be between 0 and 1","Priority must be between 0 and 1"
"Products Options","Products Options"
"Sitemap was successfully saved","Sitemap was successfully saved"
"Start Time","Start Time"
"Type","Type"
"XML","XML"
"always","always"
"daily","daily"
"hourly","hourly"
"monthly","monthly"
"never","never"
"weekly","weekly"
"yearly","yearly"
