"",""
"%s Tax Classes","%s Tax Classes"
"%s Tax Classes Title","%s Tax Classes Title"
"Actions","Actions"
"Add","Add"
"Add New Category","Add New Category"
"Add New Class","Add New Class"
"Add New Customer Group","Add New Customer Group"
"Add New Tax Rate","Add New Tax Rate"
"Add New Tax Rule","Add New Tax Rule"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure you want to take this action?","Are you sure you want to take this action?"
"Back","Back"
"CSV","CSV"
"Class Details","Class Details"
"Class Name","Class Name"
"County","County"
"Customer Tax Class","Customer Tax Class"
"Customer Tax Class Information","Customer Tax Class Information"
"Customer Tax Classes","Customer Tax Classes"
"Delete","Delete"
"Delete Class","Delete Class"
"Delete Rate","Delete Rate"
"Delete Rule","Delete Rule"
"Edit %s Tax Class","Edit %s Tax Class"
"Edit %s Tax Class Title","Edit %s Tax Class Title"
"Edit Class Details","Edit Class Details"
"Edit Tax Rate","Edit Tax Rate"
"Edit Tax Rule","Edit Tax Rule"
"Error while adding a group. Please try again later.","Error while adding a group. Please try again later."
"Error while deleting a group. Please try again later.","Error while deleting a group. Please try again later."
"Error while deleting this rate.  Incorrect rate ID","Error while deleting this rate.  Incorrect rate ID"
"Error while deleting this rate. Please try again later.","Error while deleting this rate. Please try again later."
"Error while deleting this tax class. Please try again later.","Error while deleting this tax class. Please try again later."
"Error while deleting this tax rule. Please try again later.","Error while deleting this tax rule. Please try again later."
"Error while saving this rate. Please try again later.","Error while saving this rate. Please try again later."
"Error while saving this tax class. Class with the same name already exists.","Error while saving this tax class. Class with the same name already exists."
"Error while saving this tax class. Please try again later.","Error while saving this tax class. Please try again later."
"Error while saving this tax rule. Please try again later.","Error while saving this tax rule. Please try again later."
"Export Tax Rates","Export Tax Rates"
"Group Name","Group Name"
"Group was successfully deleted","Group was successfully deleted"
"ID","ID"
"Import / Export Tax Rates","Import / Export Tax Rates"
"Import Tax Rates","Import Tax Rates"
"Included Customer Groups","Included Customer Groups"
"Included Product Categories","Included Product Categories"
"Incorrect rate Data","Incorrect rate Data"
"Invalid file format upload attempt","Invalid file format upload attempt"
"Invalid file upload attempt","Invalid file upload attempt"
"Manage Tax Rates","Manage Tax Rates"
"Manage Tax Rules","Manage Tax Rules"
"N/A","N/A"
"New Customer Tax Class","New Customer Tax Class"
"New Product Tax Class","New Product Tax Class"
"New Tax Rate","New Tax Rate"
"New Tax Rule","New Tax Rule"
"Please select County","Please select County"
"Please select Customer Tax Class","Please select Customer Tax Class"
"Please select Product Tax Class","Please select Product Tax Class"
"Please select Rate","Please select Rate"
"Please select State","Please select State"
"Product Tax Class","Product Tax Class"
"Product Tax Class Information","Product Tax Class Information"
"Product Tax Classes","Product Tax Classes"
"Rate","Rate"
"Reset","Reset"
"Sales","Sales"
"Save Class","Save Class"
"Save Rate","Save Rate"
"Save Rule","Save Rule"
"State","State"
"Tax","Tax"
"Tax Rate","Tax Rate"
"Tax Rate Information","Tax Rate Information"
"Tax Rates","Tax Rates"
"Tax Rates Import / Export","Tax Rates Import / Export"
"Tax Rule Information","Tax Rule Information"
"Tax Rules","Tax Rules"
"Tax class was successfully deleted","Tax class was successfully deleted"
"Tax class was successfully saved","Tax class was successfully saved"
"Tax rate was successfully deleted","Tax rate was successfully deleted"
"Tax rate was successfully imported","Tax rate was successfully imported"
"Tax rate was successfully saved","Tax rate was successfully saved"
"Tax rule was successfully deleted","Tax rule was successfully deleted"
"Tax rule was successfully saved","Tax rule was successfully saved"
"XML","XML"
"Zip/Post Code","Zip/Post Code"
"Zip/Postal Code","Zip/Postal Code"
