"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping"
"%s's Wishlist","%s's Wishlist"
"* Required Fields","* Required Fields"
"Add All to Cart","Add All to Cart"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"Added On","Added On"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Cannot create wishlist","Cannot create wishlist"
"Cannot specify product","Cannot specify product"
"Comment","Comment"
"E-mail Addresses required","E-mail Addresses required"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Enabled","Enabled"
"General Options","General Options"
"Go to Wishlist","Go to Wishlist"
"Message","Message"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","My Wishlist (%d item)"
"My Wishlist (%d items)","My Wishlist (%d items)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Please, enter your comments..."
"Product","Product"
"Remove Item","Remove Item"
"Share Wishlist","Share Wishlist"
"Share Your Wishlist","Share Your Wishlist"
"Share options","Share options"
"There was an error while adding item to wishlist: %s","There was an error while adding item to wishlist: %s"
"There was an error while deleting item from wishlist: %s","There was an error while deleting item from wishlist: %s"
"Update Wishlist","Update Wishlist"
"View Product","View Product"
"Wishlist","Wishlist"
"Wishlist Sharing","Wishlist Sharing"
"You have no items in your wishlist.","You have no items in your wishlist."
"You have placed no product yet.","You have placed no product yet."
"Your Wishlist was successfully shared","Your Wishlist was successfully shared"
